id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,price_clean,est_bookings_mo,occupancy_rate,projected_revenue
941325759491472645,*Modern Condo on the Westside*,63826370,Ted,,District 20,36.142924476457296,-86.85814260304107,Entire home/apt,66.0,30,11,2025-04-30,0.42,2,327,3,,66.0,0.84,0.084,166.32000000000002
941499485446183920,2 Blks to Bdwy | Corner Condo | Gym | Pool | King,493248320,Andrew And Julia,,District 19,36.1548886,-86.77541389999999,Entire home/apt,193.0,1,130,2025-09-14,5.04,3,161,70,,193.0,10.08,0.7,4052.9999999999995
941990845360157078,King Beds; Fast Wi-Fi; Close to hospitals. 30+days,231602084,India,,District 18,36.12334,-86.79127,Entire home/apt,152.0,30,4,2025-05-26,0.17,2,324,2,,152.0,0.34,0.034,155.04000000000002
942320955288077735,Luxury Nashville Home | ~10 Mins to Broadway,52336281,Brandon & Connie,,District 5,36.20435,-86.74374,Entire home/apt,191.0,2,47,2025-07-27,1.79,1,357,16,,191.0,3.58,0.358,2051.3399999999997
942740428947470931,2 Bed / 2 Bath ~ Historical Charm & Cozy Comfort,20162051,Renee,,District 17,36.13318679237242,-86.77759090572262,Entire home/apt,219.0,2,31,2025-09-15,1.21,1,248,14,,219.0,2.42,0.242,1589.94
942962797275265222,Honkytonk Highrise-Lux Downtown Apt-Pool-Gym,27024274,Brandis,,District 19,36.1536594,-86.7751858,Entire home/apt,163.0,1,159,2025-09-23,6.3,1,345,59,,163.0,12.6,0.7,3423.0
943427382718575765,The Onyx Haus: Luxury Mansion in Nashville,6675690,Kimberly Isabeau,,District 5,36.1956947,-86.774609,Entire home/apt,332.0,2,24,2025-08-09,0.96,57,343,12,,332.0,1.92,0.192,1912.32
943620521807099914,The Dolly! 4bd/3.5 ba in East! Walk to Nissan!,526701034,Stay,,District 5,36.17875,-86.75984,Entire home/apt,383.0,1,3,2025-06-09,0.12,3,130,1,,383.0,0.24,0.024,275.76
943746775163164144,East Nash House-1950s Inglewood *Entire Home*,81894056,Alexandrea,,District 7,36.21089,-86.71127,Entire home/apt,198.0,1,18,2025-09-14,0.74,2,26,9,,198.0,1.48,0.148,879.12
944011232342060812,Blocks from Broadway/King Beds/Steps from Pool,265017609,Katie,,District 19,36.1514884,-86.77816469999999,Entire home/apt,452.0,2,77,2025-08-17,2.96,3,211,29,,452.0,5.92,0.592,8027.5199999999995
944028502898383287,Storybook Nashville Guesthouse | For Couples/Solo,7389880,Jason,,District 5,36.18433,-86.76301,Entire home/apt,105.0,2,182,2025-09-22,9.45,1,311,118,2024010881,105.0,18.9,0.7,2205.0
944088251593701451,East Nashville | Pool Table & Yard | 30 Day Min,101426897,Host Extraordinaires,,District 6,36.17176,-86.76275,Entire home/apt,396.0,30,42,2025-04-18,1.63,177,120,6,,396.0,3.26,0.32599999999999996,3872.8799999999997
944196418084241198,"Country Charm in the City: Family Haven, Huge Yard",528064896,Olivia,,District 26,36.07566,-86.73583,Entire home/apt,112.0,30,15,2025-01-31,0.61,1,206,2,,112.0,1.22,0.12200000000000001,409.92
944271923515054284,Private 4 Bedroom with Sports Field Near Downtown!,25467486,Erin,,District 8,36.24943,-86.74517,Entire home/apt,247.0,2,110,2025-09-07,4.21,4,320,45,,247.0,8.42,0.7,5187.0
944301565748468000,Modern Lakeside Gem 15 min to DT Quiet Community,95817114,Shenhan,,District 14,36.142,-86.62096,Entire home/apt,174.0,30,7,2025-07-30,0.28,1,358,2,,174.0,0.56,0.05600000000000001,292.32000000000005
945751624487776821,Cozy NOLA vibes - 8 min from downtown!,118854173,Will,,District 8,36.21652,-86.75306,Entire home/apt,93.0,30,37,2025-07-30,1.43,1,317,4,,93.0,2.86,0.286,797.9399999999999
946740251932411001,Entire Dog/Baby-Friendly Home with Fenced-in Yard,211765302,Jessica,,District 9,36.26433,-86.70069,Entire home/apt,81.0,4,72,2025-08-28,2.82,1,323,37,,81.0,5.64,0.564,1370.52
947015501822830171,CozySuites MusicRow Elegant 1BR w/free parking! 36,403137298,CozySuites Nashville,,District 19,36.1456251,-86.7951583,Entire home/apt,91.0,2,52,2025-09-20,2.11,61,352,29,,91.0,4.22,0.422,1152.06
947141888436263956,Nashville Teal Door,133474854,Dango,,District 12,36.2014,-86.60177,Entire home/apt,172.0,1,134,2025-09-21,5.2,1,218,50,,172.0,10.4,0.7,3611.9999999999995
947730178098125742,Elvis Suite in East Nashville! Parking! 5 min >DT,255636174,Curated,,District 6,36.17782,-86.7531,Entire home/apt,86.0,1,157,2025-09-03,6.01,11,236,59,,86.0,12.02,0.7,1805.9999999999998
947745808578248752,Luxury Downtown | Walk to Broadway | Comfort Beds,529013659,Jarrod,,District 19,36.15511,-86.76333,Entire home/apt,338.0,2,90,2025-09-19,3.49,1,298,41,,338.0,6.98,0.6980000000000001,7077.72
947786273734889111,Cozy Cottage | Fenced yard | Fire Pit!,30995912,Jessica Joy,,District 5,36.1891127,-86.7520281,Entire home/apt,168.0,3,91,2025-09-01,3.5,15,332,41,,168.0,7.0,0.7,3528.0
947816734904246184,1950 Brick Rancher Home Near Airport,529041310,Lynn,,District 15,36.16549,-86.65524,Entire home/apt,139.0,2,50,2025-06-28,2.05,1,143,27,,139.0,4.1,0.41,1709.6999999999998
947873234862420556,The Wildflower - Rooftop + Hot Tub + Fire-pit!,1542713,Brandon,,District 2,36.1934146,-86.77822479999999,Entire home/apt,225.0,1,49,2025-09-14,1.88,65,347,18,,225.0,3.76,0.376,2538.0
948064267842237026,Brand New! Stunning Nashville Townhome,33700529,Tammi,,District 15,36.1539393,-86.71887749999999,Entire home/apt,206.0,30,3,2025-06-28,0.13,6,268,1,,206.0,0.26,0.026000000000000002,160.68
948425558240614114,"Chic Nashville 4 Bedrm, 7 Beds Walk to Restaurants",416033925,Amy,,District 6,36.1774131,-86.75399999999999,Entire home/apt,186.0,1,61,2025-08-17,2.34,90,331,18,,186.0,4.68,0.46799999999999997,2611.44
